scenario,missing_rate,moving_average_mae,linear_mae,razlika_ma_minus_linear
random,0.1,0.1464,0.0626,0.0838
random,0.2,0.1796,0.073,0.1065
random,0.3,0.1986,0.0834,0.1153
random,0.4,0.2038,0.095,0.1089
random,0.5,0.2293,0.102,0.1273
random,0.6,0.2323,0.1276,0.1047
random,0.7,0.2955,0.1774,0.1181
random,0.8,0.3528,0.1785,0.1742
block,0.1,1.4884,1.0285,0.4599
block,0.2,1.599,1.4765,0.1225
block,0.3,3.8178,3.4286,0.3892
block,0.4,7.0965,2.9308,4.1656
block,0.5,8.1601,5.4362,2.7239
block,0.6,6.6641,5.3499,1.3142
block,0.7,3.4009,5.7381,-2.3372
block,0.8,5.307,4.7975,0.5095
block_start,0.1,1.0817,0.9636,0.1181
block_start,0.2,2.2213,0.6991,1.5222
block_start,0.3,2.9869,2.1272,0.8597
block_start,0.4,2.8713,1.8038,1.0675
block_start,0.5,3.4995,1.4386,2.0609
block_start,0.6,4.0279,1.5972,2.4308
block_start,0.7,3.9828,5.1465,-1.1637
block_start,0.8,4.2301,5.2599,-1.0298
block_middle,0.1,0.6685,0.4913,0.1772
block_middle,0.2,2.0836,1.1449,0.9387
block_middle,0.3,5.8994,4.0555,1.8439
block_middle,0.4,3.6225,5.3133,-1.6908
block_middle,0.5,2.7176,5.4614,-2.7439
block_middle,0.6,3.322,4.0808,-0.7588
block_middle,0.7,3.7491,6.607,-2.8579
block_middle,0.8,4.5123,6.8624,-2.3502
block_end,0.1,7.822,3.4473,4.3747
block_end,0.2,5.4719,5.5318,-0.06
block_end,0.3,5.4775,5.4043,0.0732
block_end,0.4,10.8786,6.8261,4.0526
block_end,0.5,9.2358,5.2375,3.9983
block_end,0.6,6.8013,4.965,1.8362
block_end,0.7,5.8638,5.2253,0.6386
block_end,0.8,5.5421,4.4828,1.0593
